                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1215,                 3.7267,                 1.1158,                0.00886,                  0.555,                 0.0421,                0.02379,                0.93709,                 3.6668,                0.98216,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 1.2062,                 3.8085,                 1.0544,                0.00995,                0.58558,                0.05685,                0.02971,                0.91319,                 3.6218,                0.96263,             7.7751e-05,             7.7751e-05,             7.7751e-05
                      3,                 1.1398,                 3.5462,                 1.0604,                0.01212,                0.65957,                0.12712,                0.07845,                0.91739,                 3.5795,                0.95158,             0.00012209,             0.00012209,             0.00012209
                      4,                 1.1245,                 3.3757,                 1.0433,                0.01288,                0.68868,                0.19554,                0.13202,                0.93141,                 3.5554,                0.94522,             0.00016628,             0.00016628,             0.00016628
                      5,                  1.196,                 3.3344,                 1.0325,                0.01125,                0.69155,                0.22264,                0.15492,                0.94248,                 3.5191,                0.93919,             0.00021027,             0.00021027,             0.00021027
                      6,                 1.1954,                 2.8106,                 1.1194,                0.01278,                0.73303,                0.24555,                0.17053,                0.93866,                 3.4843,                0.93409,             0.00025397,             0.00025397,             0.00025397
                      7,                  1.179,                 2.4236,                 1.0963,                0.01563,                0.76805,                0.26496,                0.18245,                0.95868,                 3.4757,                0.94818,             0.00029734,             0.00029734,             0.00029734
                      8,                 1.2807,                 2.4662,                 1.0672,                0.01511,                0.78382,                0.26044,                0.17909,                0.91754,                 3.4202,                0.94584,              0.0003403,              0.0003403,              0.0003403
                      9,                 1.2076,                  1.861,                 1.1246,                0.01919,                0.77737,                0.29385,                0.20763,                0.91641,                 3.3912,                0.95872,              0.0003828,              0.0003828,              0.0003828
                     10,                 1.2204,                 1.6045,                 1.0809,                 0.0174,                0.69155,                0.36732,                0.26261,                0.94161,                 3.3686,                0.98275,             0.00042477,             0.00042477,             0.00042477
                     11,                 1.2246,                 1.4338,                 1.1029,                0.01529,                 0.6851,                0.42872,                 0.2991,                0.96229,                 3.3257,                 0.9992,             0.00046616,             0.00046616,             0.00046616
                     12,                 1.2009,                 1.3239,                 1.1249,                0.01222,                0.58546,                0.38955,                0.28147,                0.99043,                  3.321,                 1.0099,             0.00050689,             0.00050689,             0.00050689
